iter	Passed	Remaining
0	6	6049
1	14	7039
2	23	7726
3	31	7862
4	39	7849
5	47	7850
6	55	7943
7	64	7976
8	72	7950
9	79	7918
10	88	7999
11	98	8093
12	106	8102
13	115	8159
14	123	8119
15	132	8136
16	140	8144
17	149	8168
18	157	8120
19	165	8133
20	173	8092
21	182	8121
22	190	8084
23	199	8108
24	207	8079
25	215	8078
26	223	8056
27	232	8060
28	242	8106
29	251	8123
30	277	8676
31	291	8815
32	299	8767
33	307	8730
34	316	8721
35	326	8746
36	334	8699
37	342	8671
38	350	8648
39	359	8630
40	367	8593
41	376	8577
42	383	8545
43	393	8541
44	400	8505
45	408	8481
46	417	8469
47	426	8451
48	433	8420
49	442	8414
50	452	8428
51	462	8426
52	472	8444
53	480	8416
54	488	8401
55	497	8390
56	506	8376
57	514	8360
58	524	8357
59	531	8326
60	540	8319
61	548	8295
62	557	8290
63	565	8269
64	573	8253
65	581	8225
66	589	8213
67	597	8185
68	605	8166
69	613	8149
70	622	8140
71	630	8127
72	638	8110
73	650	8145
74	660	8151
75	670	8149
76	678	8128
77	687	8126
78	695	8110
79	703	8089
80	711	8076
81	718	8041
82	726	8022
83	733	7994
84	740	7974
85	749	7970
86	757	7949
87	765	7931
88	771	7901
89	779	7880
90	785	7850
91	792	7822
92	798	7791
93	805	7759
94	812	7743
95	819	7713
96	826	7697
97	836	7694
98	844	7689
99	853	7677
100	861	7666
101	868	7644
102	875	7626
103	881	7596
104	888	7569
105	894	7540
106	900	7512
107	907	7491
108	913	7463
109	918	7435
110	926	7416
111	932	7390
112	939	7372
113	945	7347
114	951	7321
115	959	7310
116	966	7296
117	974	7283
118	980	7260
119	987	7240
120	993	7218
121	999	7196
122	1007	7183
123	1014	7169
124	1022	7160
125	1029	7144
126	1039	7146
127	1047	7136
128	1059	7152
129	1068	7147
130	1076	7141
131	1084	7131
132	1091	7112
133	1097	7095
134	1105	7081
135	1111	7060
136	1118	7047
137	1125	7029
138	1134	7024
139	1141	7014
140	1150	7009
141	1156	6989
142	1165	6983
143	1173	6976
144	1181	6968
145	1190	6962
146	1198	6956
147	1206	6945
148	1213	6932
149	1222	6926
150	1229	6913
151	1236	6896
152	1245	6894
153	1253	6883
154	1262	6885
155	1271	6880
156	1278	6866
157	1285	6848
158	1292	6834
159	1298	6818
160	1304	6800
161	1312	6788
162	1318	6771
163	1327	6765
164	1333	6748
165	1340	6734
166	1346	6718
167	1353	6701
168	1360	6691
169	1367	6675
170	1374	6663
171	1381	6652
172	1388	6638
173	1395	6623
174	1401	6606
175	1409	6598
176	1415	6582
177	1422	6570
178	1429	6556
179	1436	6542
180	1445	6539
181	1482	6662
182	1490	6652
183	1496	6636
184	1503	6625
185	1510	6608
186	1516	6592
187	1524	6583
188	1530	6567
189	1537	6556
190	1544	6540
191	1551	6527
192	1557	6512
193	1563	6497
194	1571	6485
195	1577	6471
196	1586	6467
197	1592	6451
198	1599	6440
199	1606	6424
200	1612	6409
201	1619	6399
202	1626	6386
203	1634	6376
204	1640	6362
205	1654	6376
206	1666	6382
207	1673	6372
208	1680	6361
209	1689	6357
210	1698	6352
211	1706	6344
212	1714	6336
213	1721	6322
214	1728	6310
215	1734	6296
216	1741	6282
217	1748	6272
218	1756	6262
219	1762	6250
220	1770	6239
221	1778	6231
222	1786	6224
223	1795	6221
224	1802	6207
225	1809	6195
226	1817	6187
227	1823	6174
228	1831	6167
229	1838	6153
230	1847	6150
231	1855	6141
232	1864	6136
233	1870	6123
234	1878	6115
235	1886	6105
236	1893	6097
237	1901	6087
238	1909	6078
239	1915	6065
240	1923	6058
241	1931	6049
242	1938	6039
243	1945	6029
244	1952	6016
245	1959	6007
246	1966	5994
247	1973	5983
248	1980	5974
249	1987	5963
250	1994	5950
251	2000	5937
252	2007	5928
253	2013	5914
254	2021	5907
255	2029	5898
256	2038	5892
257	2045	5883
258	2054	5877
259	2062	5870
260	2072	5866
261	2080	5859
262	2088	5851
263	2095	5840
264	2102	5831
265	2108	5818
266	2116	5809
267	2122	5797
268	2129	5785
269	2136	5776
270	2142	5763
271	2149	5753
272	2155	5740
273	2162	5730
274	2170	5721
275	2176	5709
276	2184	5701
277	2190	5689
278	2197	5680
279	2204	5668
280	2210	5656
281	2218	5647
282	2225	5637
283	2233	5631
284	2241	5623
285	2250	5617
286	2260	5615
287	2268	5608
288	2275	5599
289	2283	5590
290	2290	5580
291	2298	5571
292	2304	5560
293	2311	5551
294	2318	5540
295	2326	5533
296	2332	5521
297	2339	5511
298	2346	5500
299	2352	5489
300	2361	5483
301	2367	5472
302	2375	5463
303	2382	5454
304	2389	5445
305	2396	5434
306	2402	5423
307	2410	5415
308	2416	5404
309	2424	5395
310	2430	5385
311	2437	5375
312	2444	5364
313	2453	5360
314	2463	5356
315	2490	5391
316	2498	5384
317	2505	5372
318	2511	5361
319	2519	5353
320	2525	5342
321	2533	5334
322	2541	5326
323	2548	5316
324	2554	5306
325	2561	5294
326	2569	5287
327	2575	5276
328	2583	5269
329	2590	5259
330	2598	5251
331	2604	5240
332	2611	5231
333	2618	5221
334	2624	5210
335	2632	5202
336	2638	5191
337	2648	5187
338	2656	5180
339	2665	5174
340	2673	5167
341	2681	5159
342	2688	5149
343	2696	5141
344	2702	5130
345	2709	5121
346	2715	5110
347	2722	5100
348	2729	5090
349	2735	5079
350	2742	5071
351	2748	5060
352	2755	5049
353	2763	5042
354	2769	5032
355	2778	5025
356	2785	5016
357	2792	5007
358	2798	4997
359	2806	4988
360	2812	4978
361	2818	4967
362	2825	4958
363	2832	4948
364	2839	4940
365	2846	4930
366	2854	4923
367	2864	4919
368	2873	4913
369	2881	4906
370	2889	4899
371	2896	4889
372	2903	4880
373	2909	4870
